	code	name	squadMarketValue	competition	players	fixtures
68	DYK	Dynamo Kyiv	123,250,000 €	CL 16/17	http://api.football-data.org/v1/teams/842/players	http://api.football-data.org/v1/teams/842/fixtures
69	SSC	SSC Napoli	295,875,000 €	CL 16/17	http://api.football-data.org/v1/teams/113/players	http://api.football-data.org/v1/teams/113/fixtures
70	SLB	SL Benfica	180,150,000 €	CL 16/17	http://api.football-data.org/v1/teams/495/players	http://api.football-data.org/v1/teams/495/fixtures
71		Besiktas JK		CL 16/17	http://api.football-data.org/v1/teams/600/players	http://api.football-data.org/v1/teams/600/fixtures
72	PSG	Paris Saint-Germain	412,650,000 €	CL 16/17	http://api.football-data.org/v1/teams/524/players	http://api.football-data.org/v1/teams/524/fixtures
73	AFC	Arsenal FC	468,500,000 €	CL 16/17	http://api.football-data.org/v1/teams/57/players	http://api.football-data.org/v1/teams/57/fixtures
74		Legia Warszawa		CL 16/17	http://api.football-data.org/v1/teams/1105/players	http://api.football-data.org/v1/teams/1105/fixtures
75	BVB	Borussia Dortmund	339,500,000 €	CL 16/17	http://api.football-data.org/v1/teams/4/players	http://api.football-data.org/v1/teams/4/fixtures
76	OLY	Olympique Lyonnais	171,450,000 €	CL 16/17	http://api.football-data.org/v1/teams/523/players	http://api.football-data.org/v1/teams/523/fixtures
77	DIN	GNK Dinamo Zagreb	48,250,000 €	CL 16/17	http://api.football-data.org/v1/teams/755/players	http://api.football-data.org/v1/teams/755/fixtures
78	JUVE	Juventus Turin	428,000,000 €	CL 16/17	http://api.football-data.org/v1/teams/109/players	http://api.football-data.org/v1/teams/109/fixtures
79	SEV	Sevilla FC	218,400,000 €	CL 16/17	http://api.football-data.org/v1/teams/559/players	http://api.football-data.org/v1/teams/559/fixtures
80	FCP	FC Porto	204,900,000 €	CL 16/17	http://api.football-data.org/v1/teams/503/players	http://api.football-data.org/v1/teams/503/fixtures
81		FC Copenhagen		CL 16/17	http://api.football-data.org/v1/teams/725/players	http://api.football-data.org/v1/teams/725/fixtures
82		Club Brugge		CL 16/17	http://api.football-data.org/v1/teams/851/players	http://api.football-data.org/v1/teams/851/fixtures
83	LCFC	Leicester City FC	210,500,000 €	CL 16/17	http://api.football-data.org/v1/teams/338/players	http://api.football-data.org/v1/teams/338/fixtures
84	MAD	Real Madrid CF	769,300,000 €	CL 16/17	http://api.football-data.org/v1/teams/86/players	http://api.football-data.org/v1/teams/86/fixtures
85	SCP	Sporting CP	220,250,000 €	CL 16/17	http://api.football-data.org/v1/teams/498/players	http://api.football-data.org/v1/teams/498/fixtures
86	B04	Bayer Leverkusen	253,900,000 €	CL 16/17	http://api.football-data.org/v1/teams/3/players	http://api.football-data.org/v1/teams/3/fixtures
87	CSK	CSKA Moscow	152,650,000 €	CL 16/17	http://api.football-data.org/v1/teams/751/players	http://api.football-data.org/v1/teams/751/fixtures
88	MCFC	Manchester City FC	518,000,000 €	CL 16/17	http://api.football-data.org/v1/teams/65/players	http://api.football-data.org/v1/teams/65/fixtures
