id,status,date,matchday,competition_id
128,FINISHED,2016-11-27 14:15:00,13,1
129,FINISHED,2016-11-27 16:30:00,13,1
130,FINISHED,2016-11-27 16:30:00,13,1
131,FINISHED,2016-12-03 12:30:00,14,1
132,FINISHED,2016-12-03 15:00:00,14,1
133,FINISHED,2016-12-03 15:00:00,14,1
134,FINISHED,2016-12-03 15:00:00,14,1
135,FINISHED,2016-12-03 15:00:00,14,1
136,FINISHED,2016-12-03 15:00:00,14,1
137,FINISHED,2016-12-03 17:30:00,14,1
138,FINISHED,2016-12-04 13:30:00,14,1
139,FINISHED,2016-12-04 16:00:00,14,1
140,FINISHED,2016-12-05 20:00:00,14,1
141,FINISHED,2016-12-10 12:30:00,15,1
142,FINISHED,2016-12-10 15:00:00,15,1
143,FINISHED,2016-12-10 15:00:00,15,1
144,FINISHED,2016-12-10 15:00:00,15,1
145,FINISHED,2016-12-10 15:00:00,15,1
146,FINISHED,2016-12-10 17:30:00,15,1
147,FINISHED,2016-12-11 12:00:00,15,1
148,FINISHED,2016-12-11 14:15:00,15,1
149,FINISHED,2016-12-11 14:15:00,15,1
150,FINISHED,2016-12-11 16:30:00,15,1
151,FINISHED,2016-12-13 19:45:00,16,1
152,FINISHED,2016-12-13 19:45:00,16,1
153,FINISHED,2016-12-14 19:45:00,16,1
154,FINISHED,2016-12-14 19:45:00,16,1
155,FINISHED,2016-12-14 19:45:00,16,1
156,FINISHED,2016-12-14 20:00:00,16,1
157,FINISHED,2016-12-14 20:00:00,16,1
158,FINISHED,2016-12-14 20:00:00,16,1
159,FINISHED,2016-12-14 20:00:00,16,1
160,FINISHED,2016-12-14 20:00:00,16,1
161,FINISHED,2016-12-17 12:30:00,17,1
162,FINISHED,2016-12-17 15:00:00,17,1
163,FINISHED,2016-12-17 15:00:00,17,1
164,FINISHED,2016-12-17 15:00:00,17,1
165,FINISHED,2016-12-17 15:00:00,17,1
166,FINISHED,2016-12-17 17:30:00,17,1
167,FINISHED,2016-12-18 13:30:00,17,1
168,FINISHED,2016-12-18 16:00:00,17,1
169,FINISHED,2016-12-18 16:00:00,17,1
170,FINISHED,2016-12-19 20:00:00,17,1
171,FINISHED,2016-12-26 12:30:00,18,1
172,FINISHED,2016-12-26 15:00:00,18,1
173,FINISHED,2016-12-26 15:00:00,18,1
174,FINISHED,2016-12-26 15:00:00,18,1
175,FINISHED,2016-12-26 15:00:00,18,1
176,FINISHED,2016-12-26 15:00:00,18,1
177,FINISHED,2016-12-26 15:00:00,18,1
178,FINISHED,2016-12-26 17:15:00,18,1
179,FINISHED,2016-12-27 17:15:00,18,1
180,FINISHED,2016-12-28 19:45:00,18,1
181,FINISHED,2016-12-30 20:00:00,19,1
182,FINISHED,2016-12-31 15:00:00,19,1
183,FINISHED,2016-12-31 15:00:00,19,1
184,FINISHED,2016-12-31 15:00:00,19,1
185,FINISHED,2016-12-31 15:00:00,19,1
186,FINISHED,2016-12-31 15:00:00,19,1
187,FINISHED,2016-12-31 15:00:00,19,1
188,FINISHED,2016-12-31 17:30:00,19,1
189,FINISHED,2017-01-01 13:30:00,19,1
190,FINISHED,2017-01-01 16:00:00,19,1
191,FINISHED,2017-01-02 12:30:00,20,1
192,FINISHED,2017-01-02 15:00:00,20,1
193,FINISHED,2017-01-02 15:00:00,20,1
194,FINISHED,2017-01-02 15:00:00,20,1
195,FINISHED,2017-01-02 15:00:00,20,1
196,FINISHED,2017-01-02 17:15:00,20,1
197,FINISHED,2017-01-03 19:45:00,20,1
198,FINISHED,2017-01-03 20:00:00,20,1
